customer_id,gender,age,senior_citizen,senior_label,married,number_of_dependents,number_of_referrals,tenure_in_months,tenure_group,offer,internet_service,internet_type,contract,payment_method,paperless_billing,monthly_charge,monthly_charge_group,total_charges,total_revenue,satisfaction_score,churn_label,churn_flag,churn_probability,predicted_churn,predicted_churn_flag,risk_level,prediction_result_type,revenue_at_risk,expected_annual_loss,high_risk_revenue,internet_contract_segment,senior_payment_segment,action_segment,recommended_action
8779-QRDMV,Male,78,Yes,,No,0,0,1,0-6 months,,Yes,DSL,Month-to-Month,Bank Withdrawal,Yes,39.65,Medium,39.65,59.65,3,Yes,1,0.777037964186725,Yes,1,High Risk,True Positive,30.809555280003647,369.71466336004374,39.65,DSL + Month-to-Month,nan + Bank Withdrawal,High Risk,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up
7495-OOKFY,Female,74,Yes,,Yes,1,1,8,7-12 months,Offer E,Yes,Fiber Optic,Month-to-Month,Credit Card,Yes,80.65,High,633.3,1024.1,3,Yes,1,0.843430151082005,Yes,1,High Risk,True Positive,68.02264168476371,816.2717002171646,80.65,Fiber Optic + Month-to-Month,nan + Credit Card,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Apply early-life retention follow-up"
1658-BYGOY,Male,71,Yes,,No,3,0,18,13-24 months,Offer D,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,95.45,Very High,1752.55,1910.88,2,Yes,1,0.3548693368654851,Yes,1,Medium Risk,True Positive,33.87227820381055,406.4673384457266,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
4598-XLKNJ,Female,78,Yes,,Yes,1,1,25,25-48 months,Offer C,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,98.5,Very High,2514.5,2995.07,2,Yes,1,0.6806827076468283,Yes,1,Medium Risk,True Positive,67.04724670321258,804.566960438551,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
4846-WHAFZ,Female,80,Yes,,Yes,1,1,37,25-48 months,Offer C,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,76.5,High,2868.15,3102.36,2,Yes,1,0.6822034608205373,Yes,1,Medium Risk,True Positive,52.1885647527711,626.2627770332532,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
4412-YLTKF,Female,72,Yes,,No,1,0,27,25-48 months,Offer C,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,Yes,78.05,High,2135.5,2235.41,1,Yes,1,0.42859705728122116,Yes,1,Medium Risk,True Positive,33.45200032079931,401.4240038495917,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
0390-DCFDQ,Female,76,Yes,,Yes,2,1,1,0-6 months,Offer E,Yes,Fiber Optic,Month-to-Month,Mailed Check,Yes,70.45,High,70.45,85.73,2,Yes,1,0.8803362165035541,Yes,1,High Risk,True Positive,62.01968645267539,744.2362374321046,70.45,Fiber Optic + Month-to-Month,nan + Mailed Check,Priority: High Value + High Risk,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
3445-HXXGF,Male,66,Yes,,Yes,0,6,58,49-72 months,Offer B,Yes,DSL,Month-to-Month,Bank Withdrawal,Yes,45.3,Medium,2651.2,2610.25,1,Yes,1,0.06494856098307027,No,0,Low Risk,False Negative,2.942169812533083,35.306037750396996,0.0,DSL + Month-to-Month,nan + Bank Withdrawal,Low Priority,Offer an incentive to switch to a one-year or two-year contract | Offer a trial premium support package | Encourage a more stable or convenient payment method
2656-FMOKZ,Female,70,Yes,,No,2,0,15,13-24 months,Offer D,Yes,Fiber Optic,Month-to-Month,Mailed Check,Yes,74.45,High,1145.7,1806.75,2,Yes,1,0.4369970553384286,Yes,1,Medium Risk,True Positive,32.534430769946006,390.4131692393521,0.0,Fiber Optic + Month-to-Month,nan + Mailed Check,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method"
2070-FNEXE,Female,77,Yes,,No,2,0,7,7-12 months,Offer E,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,No,76.45,High,503.6,681.2,2,Yes,1,0.3835820346959879,Yes,1,Medium Risk,True Positive,29.324846552508276,351.8981586300993,0.0,Fiber Optic + Month-to-Month,nan + Bank Withdrawal,Monitor: Month-to-Month,"Offer an incentive to switch to a one-year or two-year contract | Review service quality, speed complaints, and support history | Offer a trial premium support package | Encourage a more stable or convenient payment method | Apply early-life retention follow-up"
